open	high	low	close	volume	companyName	datetime	SMA20	SMA40	SMA100	SMA200	trendlower	trendhigher	tip_vela	cncf01	tip_caida	id_cncf01	ind_posicion	id_cncf	ind_high	iniTrendLow	x	sl_highs	interc_highs	trend
177.42	178.48	177.37	178.19	6666582	AAPL	2023-08-09 13:00:00	178.63412	183.5879325	190.311123	190.86677600000002				0		20.0	1	3			111			
178.195	178.79	178.1402	178.6732	3815474	AAPL	2023-08-09 14:00:00	178.64828	183.23400999999998	190.16275500000003	190.8054895				0		20.0	1	3			112			
178.67	179.59	178.61	179.16	6659912	AAPL	2023-08-09 15:00:00	178.70077999999998	182.89376	190.02055500000003	190.74476450000003				0		20.0	1	3			113			
179.16	179.3	177.99	178.2	9086389	AAPL	2023-08-09 16:00:00	178.67828	182.53401	189.871355	190.6791145				0		20.0	1	3			114			
179.14	179.95	177.595	179.65	616199	AAPL	2023-08-10 09:00:00	178.74928	182.2323925	189.737255	190.62926450000003			hammer	0		20.0	1	3			115			
179.65	180.58	178.86	180.55	7320975	AAPL	2023-08-10 10:00:00	178.83486	181.9538925	189.613095	190.5823645		180.55		0		20.0	1	3			116			
180.5596	180.75	179.12	179.5701	8864489	AAPL	2023-08-10 11:00:00	178.889615	181.650145	189.481196	190.532495				0		20.0	1	3			117			
179.58	179.6	178.01	178.355	7226979	AAPL	2023-08-10 12:00:00	178.866915	181.31552	189.337396	190.471795				0		20.0	1	3			118			
178.35	178.9199	177.85	177.97	5530451	AAPL	2023-08-10 13:00:00	178.814415	180.959395	189.181496	190.40678400000002				0		20.0	1	3			119			
177.9637	178.3911	177.6	177.68	4789585	AAPL	2023-08-10 14:00:00	178.79591499999998	180.61714	189.018796	190.338144				0		20.0	1	3			120			
177.69	178.6904	177.65	178.615	5719307	AAPL	2023-08-10 15:00:00	178.820165	180.286515	188.872146	190.274094				0		20.0	1	3			121			
178.62	178.7	177.72	178.01	7683194	AAPL	2023-08-10 16:00:00	178.827415	179.9615175	188.71459600000003	190.205244				0		20.0	1	3			122			
189.17	189.32	188.85	189.17	2851110	AAPL	2023-09-01 14:00:00	188.09035	184.710425	179.91497800000002	182.14537800000002			hammer	0		23.0	-1	4			123			
189.175	189.2	188.52	188.8899	3366469	AAPL	2023-09-01 15:00:00	188.200595	184.9674225	180.021727	182.1101775				0		23.0	-1	4			124			
188.88	189.54	188.75	189.47	6646072	AAPL	2023-09-01 16:00:00	188.316095	185.2391725	180.139827	182.07832749999997				0		23.0	-1	4			125			
187.5	189.77	187.275	187.66	601082	AAPL	2023-09-05 09:00:00	188.32709499999999	185.4364225	180.240454	182.03365250000002	187.66		inverted_hammer	0		23.0	-1	4			126			
187.68	189.31	187.17	188.06	8263802	AAPL	2023-09-05 10:00:00	188.37496500000003	185.6556725	180.34025400000002	181.9959525				0		23.0	-1	4			127			
188.06	189.31	187.82	189.05	7896039	AAPL	2023-09-05 11:00:00	188.44946499999998	185.90654750000002	180.453168	181.95990250000003				0		23.0	-1	4			128	-1.0552727272727265	330.5994545454544	195.52454545454543
189.06	189.61	188.98	189.4	5827897	AAPL	2023-09-05 12:00:00	188.535965	186.1687975	180.58158199999997	181.92620349999999				0		23.0	-1	4			129	-1.0552727272727265	330.5994545454544	194.4692727272727
189.409	189.81	189.3702	189.64	4016969	AAPL	2023-09-05 13:00:00	188.625965	186.41979750000002	180.70858200000004	181.89485350000004				0		23.0	-1	4			130	-1.0552727272727265	330.5994545454544	193.414
189.65	189.6999	189.16	189.435	2626846	AAPL	2023-09-05 14:00:00	188.694995	186.6721725	180.846682	181.86082900000002				0		23.0	-1	4			131	-1.0552727272727265	330.5994545454544	192.35872727272726
189.44	189.95	189.32	189.94	3037844	AAPL	2023-09-05 15:00:00	188.767745	186.9251725	181.00518200000002	181.82904200000002		189.94		0		23.0	-1	4			132	-1.0552727272727265	330.5994545454544	191.3034545454545
189.93	189.98	189.47	189.7	6301918	AAPL	2023-09-05 16:00:00	188.841495	187.1624225	181.155882	181.79514200000003				0		23.0	-1	4	189.98	True	133	-1.0552727272727265	330.5994545454544	190.2481818181818
188.42	189.7	188.0115	188.39	320630	AAPL	2023-09-06 09:00:00	188.869995	187.36992249999997	181.28913200000002	181.75759200000002			inverted_hammer	0		23.0	-1	4	189.7	False	134	-1.0552727272727265	330.5994545454544	189.19290909090907
188.42	189.7	186.5	186.54	9235464	AAPL	2023-09-06 10:00:00	188.795995	187.5106725	181.412382	181.708017				0		23.0	-1	4	189.7	False	135	-1.0552727272727265	330.5994545454544	188.13763636363635
186.53	186.53	183.93	184.0188	16373472	AAPL	2023-09-06 11:00:00	188.571435	187.5537675	181.51317	181.64911099999998				0		23.0	-1	4			136	-1.0552727272727265	330.5994545454544	187.08236363636362
184.02	184.31	183.53	184.15	7900776	AAPL	2023-09-06 12:00:00	188.385435	187.57789250000002	181.61477000000002	181.59028600000002			hammer	0		23.0	-1	4			137	-1.0552727272727265	330.5994545454544	186.0270909090909
184.145	184.32	182.8	183.115	7273540	AAPL	2023-09-06 13:00:00	188.083435	187.5660175	181.72107	181.52696099999997				0		23.0	-1	4			138	-1.0552727272727265	330.5994545454544	184.97181818181818
183.115	183.42	182.67	182.9699	6280190	AAPL	2023-09-06 14:00:00	187.78492999999997	187.54764	181.82596900000001	181.4614605				0		23.0	-1	4			139	-1.0552727272727265	330.5994545454544	183.91654545454543
182.9656	183.01	182.13	182.2	7704140	AAPL	2023-09-06 15:00:00	187.47493	187.48989	181.91086900000002	181.3930605				0		23.0	-1	4			140	-1.0552727272727265	330.5994545454544	182.8612727272727
182.19	183.02	181.47	182.9	17505663	AAPL	2023-09-06 16:00:00	187.19368000000003	187.45939	181.99671899999998	181.3295605				0		23.0	-1	4			141	-1.0552727272727265	330.5994545454544	181.80599999999998
177.55	182.91	176.06	176.19	2245255	AAPL	2023-09-07 09:00:00	186.54443	187.24739	182.01883700000002	181.23716050000002			inverted_hammer	0		23.0	-1	4			142	-1.0552727272727265	330.5994545454544	180.75072727272726
176.19	177.79	173.54	176.23	31458132	AAPL	2023-09-07 10:00:00	185.89742999999999	186.99389000000002	182.03703700000003	181.1483105	176.23		hammer	1	CF	23.0	0	4			143	-1.0552727272727265	330.5994545454544	179.69545454545454
